age,d18O
15.430,-41.61
15.450,-41.95
15.470,-43.57
15.490,-41.88
15.510,-43.21
15.530,-44.56
15.550,-42.31
15.570,-42.15
15.590,-42.12
15.610,-42.20
15.630,-40.39
15.650,-43.50
15.670,-43.08
15.690,-44.63
15.710,-42.79
15.730,-44.02
15.750,-43.85
15.770,-40.21
15.790,-41.70
15.810,-41.15
15.830,-40.81
15.850,-43.15
15.870,-42.98
15.890,-41.55
15.910,-40.53
15.930,-41.60
15.950,-41.94
15.970,-42.30
15.990,-41.42
16.010,-41.29
16.030,-42.99
16.050,-44.97
16.070,-43.25
16.090,-40.35
16.110,-43.59
16.130,-41.86
16.150,-41.64
16.170,-44.27
16.190,-39.89
16.210,-42.36
16.230,-41.99
16.250,-40.71
16.270,-42.10
16.290,-42.33
16.310,-42.50
16.330,-39.74
16.350,-42.81
16.370,-41.62
16.390,-40.74
16.410,-42.58
16.430,-41.26
16.450,-41.18
16.470,-38.29
16.490,-40.38
16.510,-41.68
16.530,-41.52
16.550,-40.58
16.570,-42.77
16.590,-42.78
16.610,-40.88
16.630,-41.55
16.650,-40.65
16.670,-42.69
16.690,-39.36
16.710,-40.72
16.730,-41.80
16.750,-40.92
16.770,-39.26
16.790,-40.64
16.810,-39.46
16.830,-40.35
16.850,-40.30
16.870,-42.10
16.890,-41.25
16.910,-42.41
16.930,-40.69
16.950,-42.12
16.970,-40.42
16.990,-42.23
17.010,-40.00
17.030,-39.76
17.050,-38.99
17.070,-42.35
17.090,-39.80
17.110,-40.26
17.130,-40.48
17.150,-40.56
17.170,-40.17
17.190,-41.24
17.210,-42.24
17.230,-39.81
17.250,-39.80
17.270,-41.58
17.290,-40.55
17.310,-40.64
17.330,-39.94
17.350,-41.25
17.370,-42.94
17.390,-42.38
17.410,-41.52
17.430,-40.75
17.450,-40.72
17.470,-41.49
17.490,-41.22
17.510,-38.85
17.530,-40.46
17.550,-41.85
17.570,-39.58
17.590,-39.70
17.610,-40.89
17.630,-40.04
17.650,-40.70
17.670,-42.53
17.690,-41.35
17.710,-41.31
17.730,-41.04
17.750,-40.90
17.770,-38.95
17.790,-41.45
17.810,-42.40
17.830,-43.36
17.850,-41.14
17.870,-40.93
17.890,-42.52
17.910,-41.74
17.930,-43.47
17.950,-42.27
17.970,-42.68
17.990,-41.83
18.010,-40.50
18.030,-42.77
